//gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,time
0.001733,0.002589,-0.003439,-0.015314,0.001727,1.003009,39486.764411
0.000668,0.000459,-0.000243,-0.046259,-0.039563,0.988269,39486.769391
-0.001462,-0.004868,0.004018,-0.051477,-0.030500,0.990649,39486.774409
0.002799,-0.000607,-0.000243,-0.022547,0.026080,1.007495,39486.779392
0.004929,0.000459,0.000822,0.008398,0.048327,1.010425,39486.784409
0.001733,0.001524,-0.000243,-0.010919,0.019763,0.989459,39486.789401
-0.002528,-0.001672,-0.003439,-0.041498,-0.037366,0.965014,39486.794414
0.001733,0.003654,0.001888,-0.047083,-0.042218,0.981128,39486.799391
-0.003593,-0.000607,0.004018,-0.028589,0.009051,1.014911,39486.804393
0.005994,0.000459,0.006149,-0.004602,0.057025,1.012164,39486.809414
-0.004658,0.000459,-0.003439,-0.006525,0.039447,0.992114,39486.814389
-0.000397,-0.001672,-0.001308,-0.031793,-0.024366,0.981311,39486.819417
0.003864,0.002589,-0.001308,-0.047266,-0.044049,0.994861,39486.824386
0.002799,-0.002737,-0.003439,-0.037744,-0.003308,1.009967,39486.829418
-0.002528,-0.000607,0.001888,-0.017053,0.044482,0.999713,39486.834391
0.001733,-0.002737,0.002953,0.001806,0.045031,0.986621,39486.839413
0.001733,0.004720,0.000822,-0.019708,-0.008252,0.988452,39486.844386
-0.000397,0.001524,-0.005569,-0.046442,-0.043409,0.989459,39486.849417
-0.000397,-0.003803,0.005083,-0.050745,-0.021161,0.991290,39486.854385
-0.000397,-0.000607,0.001888,-0.023920,0.029284,0.998980,39486.859418
0.000668,0.000459,0.004018,0.005011,0.047320,1.005664,39486.864384
-0.003593,0.001524,-0.003439,-0.015955,0.011157,1.000903,39486.869427
-0.000397,0.002589,0.000822,-0.045526,-0.038831,0.981128,39486.874385
0.001733,-0.002737,-0.002373,-0.046442,-0.032514,0.995135,39486.879417
0.004929,-0.000607,0.002953,-0.021265,0.027362,1.015918,39486.884382
0.000668,-0.002737,0.005083,-0.003778,0.049517,1.013080,39486.889421
0.002799,0.000459,-0.003439,-0.012659,0.023700,0.987445,39486.894386
0.000668,-0.000607,-0.004504,-0.037195,-0.028943,0.969226,39486.899416
-0.001462,0.001524,-0.003439,-0.038568,-0.042035,0.983966,39486.904388
-0.001462,0.000459,-0.001308,-0.027948,0.004657,1.018756,39486.909419
-0.005724,-0.000607,0.009344,-0.013849,0.044940,1.008044,39486.914382
0.002799,-0.001672,-0.002373,-0.007715,0.038714,0.990832,39486.919418
0.002799,0.002589,-0.002373,-0.022272,-0.010175,0.984424,39486.924391
0.005994,0.002589,-0.001308,-0.040308,-0.045331,0.995868,39486.929420
0.002799,0.000459,-0.001308,-0.049738,-0.007062,0.997516,39486.934409
-0.001462,-0.002737,0.005083,-0.025476,0.033404,0.998156,39486.939392
0.000668,-0.005933,-0.000243,0.006567,0.045581,0.993304,39486.944419
-0.000397,0.002589,0.002953,-0.012293,0.001544,0.993487,39486.949395
-0.002528,0.001524,-0.003439,-0.043512,-0.047986,0.990283,39486.954415
-0.000397,0.001524,-0.002373,-0.050104,-0.028119,0.987628,39486.959388
-0.000397,0.000459,0.001888,-0.022638,0.026995,1.003650,39486.964409
-0.003593,-0.002737,0.002953,0.002447,0.054553,1.012530,39486.969393
-0.000397,0.001524,0.004018,-0.010370,0.019305,0.999621,39486.974413
0.004929,0.001524,-0.001308,-0.038934,-0.031690,0.980212,39486.979396
0.001733,0.002589,-0.004504,-0.042871,-0.038465,0.987170,39486.984425
0.001733,0.001524,-0.003439,-0.024927,0.010608,1.019488,39486.989391
-0.001462,-0.001672,0.004018,-0.008997,0.046222,1.013263,39486.994415
-0.003593,-0.002737,0.005083,-0.010645,0.036059,0.985431,39486.999394
0.000668,0.001524,0.000822,-0.032068,-0.022351,0.977649,39487.004420
-0.006789,0.002589,-0.000243,-0.042413,-0.046613,0.992297,39487.009397
-0.005724,0.002589,-0.002373,-0.041315,-0.006696,1.009875,39487.014415
0.000668,-0.000607,0.000822,-0.019251,0.041278,1.006763,39487.019395
0.003864,-0.004868,0.000822,0.001074,0.039721,0.987719,39487.024414
0.004929,-0.001672,0.002953,-0.017694,-0.006330,0.983691,39487.029396
0.000668,0.001524,0.005083,-0.041132,-0.045880,0.986896,39487.034416
0.001733,0.001524,-0.006634,-0.052576,-0.021802,0.995868,39487.039391
-0.003593,-0.001672,-0.000243,-0.029413,0.031573,0.996783,39487.044417
-0.002528,0.000459,0.004018,0.000891,0.052356,1.002551,39487.049391
-0.000397,0.001524,0.002953,-0.013666,0.018756,0.999988,39487.054415
0.004929,0.000459,-0.000243,-0.045984,-0.037000,0.983508,39487.059388
-0.000397,-0.001672,-0.003439,-0.049097,-0.036084,0.982501,39487.063408
-0.000397,-0.001672,-0.003439,-0.027033,0.014087,1.003558,39487.068381
-0.000397,0.001524,0.000822,-0.027033,0.014087,1.003558,39487.069427
-0.003593,0.002589,-0.002373,-0.002588,0.054919,1.006396,39487.073421
0.001733,-0.002737,0.000822,-0.009546,0.031756,0.992480,39487.078386
0.000668,-0.001672,0.008279,-0.036646,-0.028852,0.974627,39487.083420
-0.000397,-0.000607,-0.001308,-0.042505,-0.047437,0.988635,39487.088382
-0.000397,-0.000607,-0.003439,-0.034540,-0.006696,1.015094,39487.093418
0.008125,0.001524,0.000822,-0.015314,0.045306,1.011706,39487.098379
0.000668,-0.002737,0.001888,-0.008722,0.038165,0.989184,39487.103420
0.000668,-0.001672,0.006149,-0.022363,-0.013379,0.986987,39487.108387
-0.001462,0.000459,-0.001308,-0.036646,-0.047071,0.992663,39487.113419
0.002799,-0.000607,-0.002373,-0.041223,-0.015851,1.008319,39487.118381
-0.001462,-0.002737,-0.001308,-0.025385,0.039080,0.999438,39487.123426
-0.003593,0.001524,0.000822,-0.001581,0.049151,0.994220,39487.128379
-0.000397,0.000459,0.007214,-0.013391,0.009143,0.994220,39487.133419
-0.006789,-0.001672,0.002953,-0.039301,-0.037549,0.989825,39487.138382
-0.004658,-0.000607,-0.001308,-0.050470,-0.030683,0.992755,39487.143421
-0.000397,0.003654,-0.005569,-0.031610,0.021045,1.010608,39487.148381
-0.001462,-0.000607,-0.001308,0.004004,0.050799,1.008410,39487.153417
0.002799,0.001524,0.002953,-0.005609,0.022693,0.999438,39487.158383
0.000668,-0.000607,-0.001308,-0.037836,-0.029309,0.975726,39487.163427
-0.001462,-0.001672,0.005083,-0.046442,-0.040662,0.977466,39487.168378
-0.000397,0.002589,-0.006634,-0.032526,0.009234,1.007312,39487.173421
-0.002528,0.001524,-0.003439,-0.010919,0.049060,1.018115,39487.178379
-0.003593,-0.003803,0.002953,-0.006799,0.036975,0.997973,39487.183412
0.002799,-0.002737,-0.002373,-0.033350,-0.019788,0.979754,39487.188377
-0.000397,0.002589,0.006149,-0.040308,-0.043500,0.989459,39487.193418
-0.001462,-0.000607,0.001888,-0.035547,-0.010724,1.012439,39487.198386
